---
name: android_pinyin_simple
version: "0.1"
sort: by_weight
...
鼥	ba  1
釛	ba	1
軷	ba	1
釟	ba	1
蚆	ba	1
弝	ba	2
抜	ba	2
朳	ba	2
覇	ba	2
胈	ba	2
豝	ba	2
癹	ba	2
矲	ba	2
壩	ba	2
菝	ba	3
犮	ba	4
鲅	ba	6
仈	ba	10
罷	ba	10
魃	ba	15
岜	ba	17
茇	ba	18
笆	ba	23
钯	ba	48
粑	ba	49
耙	ba	52
跋	ba	89
灞	ba	114
叭	ba	132
捌	ba	177
靶	ba	187
疤	ba	250
芭	ba	285
扒	ba	524
坝	ba	702
霸	ba	794
罢	ba	1275
拔	ba	1816
巴	ba	3193
爸	ba	3626
八	ba	6678
把	ba	165484
吧	ba	385205
竡	bai	1
拝	bai	2
擘	bai	3
粨	bai	4
栢	bai	6
粺	bai	8
捭	bai	12
擺	bai	12
敗	bai	17
稗	bai	40
挀	bai	63
伯	bai	134
佰	bai	275
呗	bai	309
掰	bai	381
柏	bai	795
败	bai	1469
拜	bai	2034
摆	bai	2365
百	bai	4589
白	bai	15237
斒	ban	1
魬	ban	1
螁	ban	1
靽	ban	1
鉡	ban	1
怑	ban	1
鈑	ban	2
昄	ban	2
姅	ban	3
柈	ban	3
蝂	ban	3
絆	ban	3
舨	ban	3
頒	ban	3
粄	ban	4
湴	ban	10
闆	ban	12
癍	ban	12
攽	ban	13
瘢	ban	14
钣	ban	15
辦	ban	24
阪	ban	66
坂	ban	155
颁	ban	177
扳	ban	261
绊	ban	366
瓣	ban	405
拌	ban	648
扮	ban	770
斑	ban	990
伴	ban	1658
搬	ban	3708
般	ban	4578
板	ban	5076
班	ban	11861
半	ban	13186
版	ban	17088
办	ban	17519
峀	bang	1
艕	bang	1
玤	bang	1
縍	bang	1
搒	bang	1
鎊	bang	2
鞤	bang	3
塝	bang	3
謗	bang	4
蒡	bang	4
旁	bang	6
綁	bang	8
垹	bang	10
幇	bang	10
梆	bang	36
幫	bang	49
膀	bang	52
谤	bang	58
蚌	bang	95
镑	bang	244
傍	bang	514
磅	bang	529
绑	bang	1047
浜	bang	1174
邦	bang	1708
榜	bang	2403
棒	bang	2555
帮	bang	30125
飹	bao	1
忁	bao	1
髱	bao	1
鳵	bao	1
駂	bao	1
靤	bao	1
怉	bao	1
齙	bao	1
炮	bao	1
虣	bao	1
鴇	bao	1
鑤	bao	1
媬	bao	2
珤	bao	2
蕔	bao	2
窇	bao	2
笣	bao	4
趵	bao	4
瀑	bao	4
褓	bao	7
儤	bao	7
鮑	bao	8
