a 	啊	c=36 d=1.2806 t=40209
a 	嗄	c=0 d=0.0005 t=76495
a a 	啊啊	c=2 d=0.0866 t=40209
a ba a ba 	阿巴阿巴	c=10 d=1.9312 t=3923
a bi 	阿比	c=0 d=0.0005 t=76495
a fu han 	阿富汗	c=3 d=0.0005 t=76495
a gen ting 	阿根廷	c=1 d=0.0005 t=76495
a ji 	阿吉	c=1 d=0.0005 t=76495
a ka 	阿卡	c=1 d=0.0005 t=76495
a li 	阿里	c=6 d=0.0005 t=76495
a li yun 	阿里云	c=5 d=0.0005 t=76495
a san 	阿三	c=1 d=0.0005 t=76495
a si lan 	阿斯蘭	c=0 d=0.0005 t=76495
a si lan kou dai mo fang ka la 	阿斯蘭口袋魔方卡拉	c=1 d=0.0005 t=76495
a song 	啊送	c=1 d=0.0005 t=76495
a zi 	阿紫	c=0 d=0.0005 t=76495
ai 	愛	c=1 d=0.0005 t=76495
ai 	矮	c=1 d=0.0005 t=76495
ai ca 	挨擦	c=0 d=0.0005 t=76495
ai ca shou dong 	挨擦手動	c=1 d=0.0005 t=76495
ai hao 	爱好	c=1 d=0.0278 t=3923
ai hao zhe 	爱好者	c=1 d=0.9495 t=3923
ai qi yi 	爱奇艺	c=2 d=0.0005 t=76495
ai ren 	愛人	c=0 d=0.0005 t=76495
ai te 	爱特	c=5 d=0.0005 t=76495
ai wen 	愛問	c=1 d=0.0005 t=76495
ai yi dian 	矮一點	c=1 d=0.0005 t=76495
ai yo 	哎唷	c=1 d=0.0005 t=76495
ai zhe li 	愛這裏	c=1 d=0.0005 t=76495
an 	安	c=1 d=0.0005 t=76495
an 	按	c=16 d=4.8049 t=40209
an 	暗	c=0 d=0.0005 t=76495
an bu jiu ban 	按部就班	c=1 d=0.4883 t=3923
an hang 	按行	c=2 d=1.8935 t=40209
an hui 	安徽	c=2 d=0.0005 t=76495
an jian 	安檢	c=1 d=0.0005 t=76495
an jiu 	暗九	c=1 d=0.0005 t=76495
an li 	按例	c=1 d=0.0005 t=76495
an li 	案例	c=7 d=0.0005 t=76495
an mian yao 	安眠藥	c=1 d=0.0005 t=76495
an niu 	按鈕	c=18 d=0.5312 t=76495
an niu 	按钮	c=3 d=0.1861 t=3923
an niu zu 	按钮组	c=1 d=0.0555 t=3923
an pai 	安排	c=12 d=0.0658 t=76495
an pai dian 	安排點	c=1 d=0.0005 t=76495
an pai shang 	安排上	c=1 d=0.0005 t=76495
an pi 	按批	c=1 d=0.0005 t=76495
an quan 	安全	c=2 d=0.0005 t=76495
an shi 	按時	c=1 d=0.0005 t=76495
an ta 	按它	c=1 d=2.0000 t=3787
an tu cheng 	安土城	c=1 d=0.0005 t=76495
an xin 	安心	c=1 d=0.0005 t=76495
an yue 	按月	c=1 d=0.0005 t=76495
an zhao 	按照	c=99 d=4.0992 t=40209
an zhuang 	安装	c=10 d=3.7445 t=3923
an zhuang 	安裝	c=27 d=6.5051 t=76495
an zhuo 	安卓	c=225 d=16.5166 t=40209
an zhuo 	案桌	c=1 d=0.0005 t=76495
an zhuo le 	安卓了	c=1 d=0.0005 t=76495
an zhuo mei you 	安卓沒有	c=2 d=0.0005 t=76495
an zu 	按組	c=1 d=0.0005 t=76495
ang 	昂	c=1 d=0.0005 t=76495
ang ang 	昂昂	c=0 d=0.0005 t=76495
ao 	奧	c=1 d=0.0005 t=76495
ao 	熬	c=0 d=0.3914 t=76495
ao ao 	凹凹	c=1 d=0.0005 t=76495
ao ao 	嗷嗷	c=3 d=0.0005 t=76495
ao guo le 	熬過了	c=1 d=3.9331 t=76495
ao li gei 	奧力給	c=1 d=0.0005 t=76495
ao men 	澳門	c=4 d=1.6292 t=76495
ao ri 	奥日	c=1 d=0.0005 t=76495
ao te man 	奧特曼	c=1 d=0.0005 t=76495
ba 	八	c=2 d=0.0005 t=76495
ba 	叭	c=3 d=0.0005 t=76495
ba 	吧	c=274 d=11.6749 t=40209
ba 	壩	c=1 d=2.7032 t=76495
ba 	巴	c=0 d=0.1810 t=3923
ba 	把	c=348 d=15.1359 t=40209
ba 	霸	c=1 d=0.0005 t=76495
ba ba 	吧吧	c=1 d=0.0005 t=76495
ba ba 	爸爸	c=1 d=0.0005 t=76495
ba ba 	粑粑	c=0 d=0.3993 t=76495
