# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	76495
#@/user_id	rime-windows
a 	啊	c=34 d=0.00152301 t=76495
a 	嗄	c=0 d=6.81196e-103 t=76495
a a 	啊啊	c=1 d=1.70154e-18 t=76495
a bi 	阿比	c=0 d=4.23378e-08 t=76495
a fu han 	阿富汗	c=3 d=3.76677e-24 t=76495
a gen ting 	阿根廷	c=1 d=8.37548e-33 t=76495
a ji 	阿吉	c=1 d=2.23967e-45 t=76495
a ka 	阿卡	c=1 d=6.77496e-38 t=76495
a li 	阿里	c=6 d=5.06789e-05 t=76495
a li yun 	阿里云	c=5 d=2.13962e-12 t=76495
a san 	阿三	c=1 d=6.59982e-24 t=76495
a si lan 	阿斯蘭	c=0 d=1.07628e-101 t=76495
a si lan kou dai mo fang ka la 	阿斯蘭口袋魔方卡拉	c=1 d=1.08167e-100 t=76495
a song 	啊送	c=1 d=5.39612e-08 t=76495
a zi 	阿紫	c=0 d=4.03102e-107 t=76495
ai 	愛	c=1 d=8.1028e-26 t=76495
ai 	矮	c=1 d=1.31537e-19 t=76495
ai ca 	挨擦	c=0 d=3.50963e-07 t=76495
ai ca shou dong 	挨擦手動	c=1 d=3.52722e-06 t=76495
ai qi yi 	爱奇艺	c=2 d=5.99859e-10 t=76495
ai ren 	愛人	c=0 d=3.70921e-40 t=76495
ai te 	爱特	c=5 d=4.21607e-29 t=76495
ai wen 	愛問	c=1 d=8.44527e-13 t=76495
ai yi dian 	矮一點	c=1 d=2.45359e-30 t=76495
ai yo 	哎唷	c=1 d=6.25641e-13 t=76495
ai zhe li 	愛這裏	c=1 d=3.41439e-94 t=76495
an 	安	c=1 d=3.92853e-09 t=76495
an 	按	c=15 d=0.8643 t=76495
an 	暗	c=0 d=6.81196e-103 t=76495
an hang 	按行	c=1 d=7.91244e-11 t=76495
an hui 	安徽	c=2 d=2.4545e-05 t=76495
an jian 	安檢	c=1 d=8.52641e-96 t=76495
