# Rime user dictionary
#@/db_name	young_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	3923
#@/user_id	rime-android
a 	啊	c=2 d=0.636468 t=3923
a a 	啊啊	c=1 d=0.0430669 t=3923
a ba a ba 	阿巴阿巴	c=10 d=0.965605 t=3923
ai hao 	爱好	c=1 d=0.013912 t=3923
ai hao zhe 	爱好者	c=1 d=0.474734 t=3923
an 	按	c=1 d=0.241714 t=3923
an bu jiu ban 	按部就班	c=1 d=0.244143 t=3923
an hang 	按行	c=1 d=0.946485 t=3923
an niu 	按钮	c=3 d=0.0930545 t=3923
an niu zu 	按钮组	c=1 d=0.0277367 t=3923
an ta 	按它	c=1 d=1 t=3787
an zhao 	按照	c=1 d=0.000878289 t=3923
an zhuang 	安装	c=10 d=1.87224 t=3923
an zhuo 	安卓	c=2 d=0.806541 t=3923
ba 	吧	c=18 d=1.35046 t=3923
ba 	巴	c=0 d=0.0904837 t=3923
ba 	把	c=8 d=0.944794 t=3923
ba chi 	把持	c=1 d=0.292293 t=3923
ba dian 	八点	c=1 d=0.70822 t=3923
ba ga 	八嘎	c=1 d=0.299692 t=3923
ba le 	罢了	c=1 d=0.000934966 t=3923
ba qian 	把钱	c=0 d=0.0694197 t=3923
ba shi jian 	把时间	c=1 d=0.160414 t=3923
ba ta 	把他	c=2 d=1.1501 t=3923
ba ta 	把它	c=1 d=0.0131336 t=3923
ba wo 	把我	c=1 d=0.0102549 t=3923
ba wo 	把握	c=1 d=0.0102037 t=3923
bai 	白	c=0 d=0.00291588 t=3923
bai 	百	c=1 d=0.852144 t=3923
bai ma 	白马	c=0 d=0.0618783 t=3923
bai ma hui suo 	白马会所	c=1 d=0.621885 t=3923
bai mang huo 	白忙活	c=1 d=0.0293049 t=3923
bai piao 	白嫖	c=1 d=0.00904991 t=3923
ban 	版	c=3 d=0.00102302 t=3923
ban ben 	版本	c=3 d=0.904837 t=3923
ban dao 	搬到	c=1 d=0.404542 t=3923
ban nian 	半年	c=2 d=0.010313 t=3923
bang 	傍	c=0 d=0.0640824 t=3923
bang 	帮	c=1 d=0.0182243 t=3923
bang ding 	绑定	c=5 d=0.20904 t=3923
bang fu po 	傍富婆	c=1 d=0.644036 t=3923
bang mang 	帮忙	c=1 d=0.0387742 t=3923
bang ni 	帮你	c=1 d=0.995012 t=3923
bang wo 	帮我	c=1 d=0.053397 t=3923
bang zi 	磅子	c=1 d=0.860708 t=3923
bang zi 	膀子	c=1 d=0.282239 t=3923
bao 	包	c=1 d=0.9412 t=3923
bao 	宝	c=1 d=0.00873865 t=3923
bao cuo 	报错	c=2 d=0.00122477 t=3923
bao han 	包含	c=1 d=0.00010333 t=3923
bao liu 	保留	c=2 d=0.522046 t=3923
bei 	被	c=8 d=1.44556 t=3923
bei dong 	被动	c=2 d=1.25223 t=3923
bei ge li 	被隔离	c=1 d=2.30043e-07 t=3923
bei jing 	北京	c=2 d=0.9377 t=3923
bei jing se 	背景色	c=1 d=0.0315873 t=3923
bei po 	被迫	c=1 d=0.336216 t=3923
bei shang 	北上	c=1 d=0.364219 t=3923
bei ying 	背影	c=1 d=0.0295994 t=3923
bei zhu 	备注	c=3 d=0.0133799 t=3923
ben ci 	本次	c=1 d=0.0478349 t=3923
ben lai 	本来	c=3 d=0.551563 t=3923
ben yi 	本意	c=1 d=0.00687406 t=3923
bi 	比	c=1 d=0.0352602 t=3923
bi 	毕	c=1 d=3.28083e-07 t=3923
bi chuan 	必传	c=1 d=0.000884932 t=3923
bi jiao 	比较	c=7 d=1.12329 t=3923
bi jiao duo 	比较多	c=3 d=1.07467 t=3923
bi li bi li 	哔哩哔哩	c=1 d=0.479505 t=3923
bi ta 	比他	c=1 d=0.814647 t=3923
bi xu 	必须	c=2 d=0.423966 t=3923
bian 	扁	c=1 d=0.00251621 t=3923
bian cheng 	编程	c=1 d=0.0305009 t=3923
bian cu 	鞭促	c=1 d=0.802519 t=3923
bian jie ma 	编解码	c=1 d=0.0284388 t=3923
bian le 	变了	c=1 d=0.99005 t=3923
bian liang 	变量	c=5 d=0.536011 t=3923
bian ma 	编码	c=2 d=1.851 t=3923
bian xie 	编写	c=1 d=0.0290133 t=3923
bian yi 	编译	c=3 d=0.278087 t=3923
biao 	表	c=1 d=0.790003 t=3923
biao ming 	标明	c=1 d=1.70832e-06 t=3923
biao qian 	标签	c=1 d=0.00419023 t=3923
biao qing 	表情	c=1 d=0.918512 t=3923
biao shi 	标识	c=0 d=0.000414854 t=3923
biao ti 	标题	c=3 d=0.039156 t=3923
bie 	别	c=1 d=8.42312e-05 t=3923
bie jie zhu 	别借助	c=1 d=0.000845993 t=3923
bie ming 	别名	c=2 d=0.101562 t=3923
bie ren 	别人	c=1 d=0.101774 t=3923
bing 	冰	c=1 d=4.4501e-05 t=3923
bing 	并	c=1 d=0.236928 t=3923
bing xiang 	并想	c=1 d=0.0376283 t=3923
bo cai 	博彩	c=1 d=0.102284 t=3923
bo cai 	菠菜	c=1 d=0.100761 t=3923
bo dong 	波动	c=1 d=0.053397 t=3923
bo fang 	播放	c=2 d=0.237449 t=3923
bo zi 	脖子	c=1 d=0.524663 t=3923
bu 	不	c=4 d=0.183546 t=3923
bu bao cuo 	不报错	c=1 d=0.00585769 t=3923
bu bu 	步步	c=1 d=0.0916297 t=3923
bu chong fu 	不重复	c=1 d=0.00372538 t=3923
bu chu lai 	不出来	c=2 d=0.021928 t=3923
bu cun zai 	不存在	c=5 d=0.599345 t=3923
bu da 	不大	c=1 d=0.0395079 t=3923
bu da ke neng 	不大可能	c=1 d=0.179964 t=3923
bu dan xin 	不担心	c=1 d=0.0944202 t=3923
bu dei 	不得	c=2 d=0.000749927 t=3923
bu dong 	不动	c=0 d=0.0631284 t=3923
bu dui 	不对	c=0 d=5.38128e-06 t=3923
bu dui jin 	不对劲	c=2 d=0.818731 t=3923
bu duo 	不多	c=2 d=0.452209 t=3923
bu er 	布尔	c=0 d=0.0075774 t=3923
bu er zhi 	布尔值	c=1 d=0.0761538 t=3923
bu gao 	不高	c=1 d=4.63171e-05 t=3923
bu gao wan 	不搞完	c=1 d=0.125556 t=3923
bu gei 	不给	c=1 d=0.358796 t=3923
bu gei wo 	不给我	c=1 d=0.305746 t=3923
bu gou 	不够	c=1 d=0.180866 t=3923
bu guan 	不管	c=1 d=0.0858632 t=3923
bu guan le 	不管了	c=1 d=0.00139481 t=3923
bu hao 	不好	c=0 d=0.0136695 t=3923
bu hao ma 	不好吗	c=1 d=0.501576 t=3923
bu hao yi si 	不好意思	c=1 d=0.960789 t=3923
bu hua 	不化	c=1 d=0.794534 t=3923
bu hui 	不会	c=4 d=1.04958 t=3923
bu hui ya 	不会呀	c=2 d=0.438235 t=3923
bu hui zou 	不会走	c=2 d=0.0029826 t=3923
bu jia 	不加	c=1 d=1 t=3705
bu jiu shi 	不就是	c=1 d=0.418952 t=3923
bu ju 	布局	c=1 d=0.0411719 t=3923
bu ke 	不可	c=1 d=0.0812682 t=3923
bu ke yi 	不可以	c=1 d=0.509156 t=3923
bu lian 	不练	c=0 d=0.000124951 t=3923
bu liao 	不了	c=1 d=0.0562247 t=3923
bu mai 	不买	c=1 d=0.38868 t=3923
bu ming 	不明	c=1 d=0.0784731 t=3923
bu neng 	不能	c=4 d=0.762385 t=3923
bu neng xuan 	不能选	c=1 d=0.0566989 t=3923
bu pi pei 	不匹配	c=1 d=0.00663763 t=3923
bu qing 	不清	c=0 d=0.0386741 t=3923
bu qing bu chu 	不清不楚	c=1 d=0.38868 t=3923
bu qing chu 	不清楚	c=2 d=0.400517 t=3923
bu qu 	不去	c=1 d=0.0620385 t=3923
bu ran 	不然	c=3 d=0.931836 t=3923
bu rang 	不让	c=1 d=0.276651 t=3923
bu rang ni 	不让你	c=1 d=0.000925663 t=3923
bu ren wei 	不认为	c=1 d=0.499074 t=3923
bu shai xuan 	不筛选	c=1 d=0.00065886 t=3923
bu shang 	补上	c=1 d=5.93288e-06 t=3923
bu sheng xiao 	不生效	c=1 d=1 t=3743
bu shi 	不是	c=12 d=1.76523 t=3923
bu shi an zhao 	不是按照	c=1 d=0.00882647 t=3923
bu shi hao dai 	不识好歹	c=1 d=4.72608e-07 t=3923
bu shi shuo 	不是说	c=0 d=1.09738e-06 t=3923
bu shua xin 	不刷新	c=1 d=0.591555 t=3923
bu shuang 	不爽	c=1 d=0.715338 t=3923
bu shun 	不顺	c=0 d=3.57189e-08 t=3923
bu tai 	不太	c=0 d=0.0287941 t=3923
bu tai hao 	不太好	c=3 d=0.97531 t=3923
bu tai hao kan 	不太好看	c=1 d=0.489192 t=3923
bu tai leng 	不太冷	c=1 d=0.289384 t=3923
bu tong 	不同	c=0 d=0.00185924 t=3923
bu tong ping tai 	不同平台	c=1 d=0.0186856 t=3923
bu xian shi 	不显示	c=1 d=1.02319e-05 t=3923
bu xiang 	不想	c=0 d=0.0151829 t=3923
bu xiang deng 	不相等	c=1 d=0.0497871 t=3923
bu xiang ni 	不像你	c=2 d=1.69715 t=3923
bu xiang pao 	不想抛	c=1 d=8.74013e-05 t=3923
bu xiang shang ban 	不想上班	c=1 d=0.15259 t=3923
bu xing 	不行	c=4 d=0.818028 t=3923
bu xu yao 	不需要	c=2 d=0.585687 t=3923
bu yao 	不要	c=2 d=0.847894 t=3923
bu yao ting 	不要停	c=1 d=0.0156858 t=3923
bu yao zhe yang 	不要这样	c=0 d=0.0995012 t=3923
bu yao zhe yang zi 	不要这样子	c=1 d=1 t=3923
bu yi 	布衣	c=0 d=0.0141564 t=3923
bu yi ding 	不一定	c=1 d=0.00157264 t=3923
bu yi yang 	不一样	c=1 d=6.09882e-07 t=3923
bu yi zhi 	不一致	c=1 d=0.0162445 t=3923
bu yong 	不用	c=5 d=0.826959 t=3923
bu yong yu yue 	不用预约	c=1 d=0.0081887 t=3923
bu zhi 	不知	c=1 d=1.01965 t=3923
bu zhi chi 	不支持	c=2 d=1.1203 t=3923
bu zhi dao 	不知道	c=3 d=0.131161 t=3923
bu zhi dui 	不知对	c=1 d=0.960789 t=3923
bu zhi xing 	不执行	c=1 d=8.96139e-05 t=3923
bu zhu 	不住	c=1 d=0.293761 t=3923
cai 	才	c=2 d=0.464028 t=3923
cai dui 	才对	c=1 d=0.582748 t=3923
cai hao 	才好	c=1 d=1.51881e-05 t=3923
cai hui 	才会	c=1 d=3.90827e-07 t=3923
cai neng 	才能	c=1 d=0.464541 t=3923
cai neng pao 	才能跑	c=1 d=0.394554 t=3923
cai neng yong 	才能用	c=1 d=0.00027603 t=3923
cai shang 	才上	c=1 d=0.313486 t=3923
cai xin 	彩信	c=1 d=0.285076 t=3923
cai xing 	才行	c=3 d=0.267135 t=3923
cai xue 	采血	c=1 d=2.80975e-07 t=3923
can jia 	参加	c=1 d=0.729789 t=3923
can kao can kao 	参考参考	c=1 d=0.00577048 t=3923
can shu 	参数	c=2 d=0.326713 t=3923
cang ku 	仓库	c=2 d=0.847894 t=3923
cang ying 	苍蝇	c=1 d=1 t=3700
cao ta ma 	操他妈	c=1 d=0.00321477 t=3923
cao zuo 	操作	c=6 d=0.255465 t=3923
ce 	测	c=0 d=5.80138e-08 t=3923
ce bian lan 	侧边栏	c=1 d=0.000309671 t=3923
ce le ge 	测了个	c=1 d=5.83046e-07 t=3923
ce shi 	测试	c=14 d=0.340492 t=3923
